H,S,V,Cor
0,0,0,Preto
0,0,15,Preto
0,0,30,Preto
0,0,45,Cinza
0,0,60,Cinza
0,0,75,Cinza
0,0,90,Cinza
0,0,105,Cinza
0,0,120,Cinza
0,0,135,Cinza
0,0,150,Cinza
0,0,165,Cinza
0,0,180,Cinza
0,0,195,Cinza
0,0,210,Branco
0,0,225,Branco
0,0,240,Branco
0,0,255,Branco
0,15,0,Preto
0,15,15,Preto
0,15,30,Preto
0,15,45,Cinza
0,15,60,Cinza
0,15,75,Cinza
0,15,90,Cinza
0,15,105,Cinza
0,15,120,Cinza
0,15,135,Cinza
0,15,150,Cinza
0,15,165,Cinza
0,15,180,Cinza
0,15,195,Cinza
0,15,210,Branco
0,15,225,Branco
0,15,240,Branco
0,15,255,Branco
0,30,0,Preto
0,30,15,Preto
0,30,30,Preto
0,30,45,Cinza
0,30,60,Cinza
0,30,75,Cinza
0,30,90,Cinza
0,30,105,Cinza
0,30,120,Cinza
0,30,135,Cinza
0,30,150,Cinza
0,30,165,Cinza
0,30,180,Cinza
0,30,195,Cinza
0,30,210,Branco
0,30,225,Branco
0,30,240,Branco
0,30,255,Branco
0,45,0,Preto
0,45,15,Preto
0,45,30,Preto
0,45,45,Cinza
0,45,60,Cinza
0,45,75,Cinza
0,45,90,Cinza
0,45,105,Cinza
0,45,120,Cinza
0,45,135,Cinza
0,45,150,Cinza
0,45,165,Cinza
0,45,180,Cinza
0,45,195,Cinza
0,45,210,Rosa
0,45,225,Rosa
0,45,240,Rosa
0,45,255,Rosa
0,60,0,Preto
0,60,15,Preto
0,60,30,Preto
0,60,45,Marrom
0,60,60,Marrom
0,60,75,Marrom
0,60,90,Marrom
0,60,105,Marrom
0,60,120,Marrom
0,60,135,Vermelho Escuro
0,60,150,Vermelho
0,60,165,Vermelho
0,60,180,Vermelho
0,60,195,Rosa
0,60,210,Rosa
0,60,225,Rosa
0,60,240,Rosa
0,60,255,Rosa
0,75,0,Preto
0,75,15,Preto
0,75,30,Preto
0,75,45,Marrom
0,75,60,Marrom
0,75,75,Marrom
0,75,90,Marrom
0,75,105,Marrom
0,75,120,Marrom
0,75,135,Vermelho Escuro
0,75,150,Vermelho
0,75,165,Vermelho
0,75,180,Vermelho
0,75,195,Rosa
0,75,210,Rosa
0,75,225,Rosa
0,75,240,Rosa
0,75,255,Rosa
0,90,0,Preto
0,90,15,Preto
0,90,30,Preto
0,90,45,Marrom
0,90,60,Marrom
0,90,75,Marrom
0,90,90,Marrom
0,90,105,Marrom
0,90,120,Marrom
0,90,135,Vermelho Escuro
0,90,150,Vermelho
0,90,165,Vermelho
0,90,180,Vermelho
0,90,195,Rosa
0,90,210,Rosa
0,90,225,Rosa
0,90,240,Rosa
0,90,255,Rosa
0,105,0,Preto
0,105,15,Preto
0,105,30,Preto
0,105,45,Marrom
0,105,60,Marrom
0,105,75,Marrom
0,105,90,Marrom
0,105,105,Marrom
0,105,120,Marrom
0,105,135,Vermelho Escuro
0,105,150,Vermelho
0,105,165,Vermelho
0,105,180,Vermelho
0,105,195,Rosa
0,105,210,Rosa
0,105,225,Rosa
0,105,240,Rosa
0,105,255,Rosa
0,120,0,Preto
0,120,15,Preto
0,120,30,Preto
0,120,45,Marrom
0,120,60,Marrom
0,120,75,Marrom
0,120,90,Marrom
0,120,105,Marrom
0,120,120,Marrom
0,120,135,Vermelho Escuro
0,120,150,Vermelho
0,120,165,Vermelho
0,120,180,Vermelho
0,120,195,Rosa
0,120,210,Rosa
0,120,225,Rosa
0,120,240,Rosa
